companyName,primaryPhone,mobile,telephone,email,city,address,areas,category,certificateNo,validityDate,technology,source
Pleasant Solar (Private) Limited,0346-4333338,0346-4333338; 0321-8505044,"051-2305719, 2820444",pleasantsolar1081@gmail.com; technoworld.int@gmail.com,ICT,,ICT & Punjab,C-3,CR/22/043/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
PNC Suppliers (Private) Limited,0321-8777895,0321-8777895; 0321-3499092,021-35141256-257; 051-8350281,malinawaz@hotmail.com; saif.abbas@pncsuppliers.com,ICT,,ICT & Punjab,C-3,CR/24/214/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Power Square,0321-8955945,0321-8955945,021-32711073,sunshine_pakistan@hotmail.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/243/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
PowerCell,0313-1310784,"0313-1310784; 0300-1105151, 0322-8555456",,mzulkifal190@gmail.com; info@powercell.pk,ICT,,ICT & Punjab,C-3,CR/24/275/C-3,30-06-2027,Solar,PPIB C-3 (upto 250 kW)
Primax Solar Energy (Private) Limited,0315-9310720,0315-9310720; 0324-4370152,042-35227077,habibreham54401@gmail.com; primaxsolarenergy@gmail.com,ICT,,"ICT, Punjab, KPK & Balochistan",C-3,CR/23/119/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Prisma Trading,"0332-5316006, 0334-5545548","0332-5316006, 0334-5545548; 0315-5125508, 0333-5546339",,hirenegg@gmail.com; nabidecent77@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/267/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Qaisar Associates |,0321-8112514,0321-8112514,,gxy.trad@gmail.com; qaiserpasha1973@gmail.com,ICT,,"ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/200/C-3,,Solar,PPIB C-3 (upto 250 kW)
QuWatt (Private) Limited,0300-5000304,0300-5000304; 0345-2244802,"051-2150004, 2120208",info@quwatt.com; jns_generators@hotmail.com,Islamabad,"Area, Islamabad.",ICT & Punjab,C-3,CR/24/149/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Rabia International,"0331-7692627, 0345-5400498","0331-7692627, 0345-5400498; 0312-2922568",,mnaseer65@yahoo.com; rabiaintl88@hotmail.com,Karachi,"Plot H1 Shop, Block 08, Clifton, Karachi.","ICT, Punjab & Sindh",C-3,CR/24/246/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Read Solar (Private) Limited,0321-6808222,0321-6808222,,info@readgroup.com.pk,ICT,,"ICT, Punjab, & KPK",C-3,CR/23/011/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Reliance Energy Solutions,0300-8667430,"0300-8667430; 0331-4884244, 03-111-777-681",041-8729458,info@elahienergy.com; info@res.com.pk,Lahore,"21, Block-A, Ext. Judicial Colony, Phase 1, Raiwind Road, Lahore.",ICT & Punjab,C-3,CR/23/063/C-3,05-01-2026,Solar,PPIB C-3 (upto 250 kW)
Renergent Energy (Private) Limited,0300-2038530,0300-2038530; 0300-4403004,021-34140200; 042-35970111,info@solway.pk; info@renergent.com,Lahore,"Housing Society,, Phase-III, Peco, Road, Lahore.",ICT & Punjab,C-3,CR/23/051/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Royaute Energy & Engineering Co.,0300-7217396,0300-7217396; 0342-8400000,041-2552283; 042-36297644,kazsolar@yahoo.com; royaute.energy@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/263/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
RZ Traders,0300-4028071,0300-4028071,021-34988990,sales@alkafiengineering.com; risingimpex99@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/223/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
S M Industries,"0335-1203275, 0330-5845448","0335-1203275, 0330-5845448; 0300-0633243, 0321-8266060",,solarprofessional232@gmail.com; shahidlehra77@gmail.com,,"M.A. Jinnah Road,",,C-3,CR/23/107/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
S.T. Brothers,"0300-0633243, 0321-8266060","0300-0633243, 0321-8266060; 0300-8238184",021-35892359,shahidlehra77@gmail.com; st.brothers@live.com,Karachi,"th Commercial Street, DHA Phase-II, Karachi.",,C-3,CR/23/108/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Saeed & Co.,0300-8329599,0300-8329599,,saif.abbas@pncsuppliers.com; saeedu407@gmail.com,ICT,,"ICT, Punjab & KPK",C-3,CR/24/215/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Safa Industry,0300-8238184,0300-8238184; 0330-5845448,021-35892359; 0213-5120360,st.brothers@live.com; safaindustry232@gmail.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/109/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Salim Winding Works,021-32566309-10,,021-32566309-10,info@salimww.com.pk,,,,C-3,CR/24/232/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Salim Winding Works (Private) Limited,0332-2418046,0332-2418046; 0300-8267292,021-32566309-10,fahad.mirza@hotmail.com; info@salimww.com.pk,,,,C-3,CR/24/162/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Saver-Solar (Private) Limited,"0322-8484113, 0315-4660088","0322-8484113, 0315-4660088",021-32566309-10; 042-35312155,info@salimww.com.pk; info@saver-solar.com,Lahore,"1-KM Raiwind Road, Near Thokar, Lahore.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/233/C-3,,Solar,PPIB C-3 (upto 250 kW)
Saving Energy Corporation,0300-2188224,0300-2188224,"021-35680591, 35677274",se-electronics@hotmail.com,,,,C-3,CR/23/103/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Seven Star Energy,0300-6952881,"0300-6952881; 0303-6046866; 0300-2647512, 0312-2060614",061-6218373,nazrfajar@yahoo.com; info@solenergy.pk; mehboob1780@hotmail.com; hussain.solar.netmetering@gmail.com,Multan,"Naqshband Colony, LMQ Khanewal Road, Multan Cantt, Multan.",ICT & Punjab,C-3,CR/24/270/C-3,30-06-2027,Solar,PPIB C-3 (upto 250 kW)
Sidra International,0300-8230821,0300-8230821,021-32750551-2; 0323-8203104,kashif@msbintl.com; hassanfarooq278@gmail.com,Karachi,"M-156, Ground Floor, Block no. 2, P.E.C.H.S, Tariq Road, Karachi.",ICT & Punjab,C-3,CR/24/212/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Sigma Electronics,0316-0408875,0316-0408875; 0332-3329542,021-35642803,sunlightcorporations552@gmail.com; sigmapk99@gmail.com,Karachi,"Saddar, Karachi.",,C-3,CR/23/133/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Sikandar & Company,"0321-6163063, 0321-6153063, 0300-4871107","0321-6163063, 0321-6153063, 0300-4871107; 0321-8254699",,engr.abdulrauf.10@gmail.com; babar5176@icloud.com,Karachi,"10-15, Mian Chambers, Opp. Sindh Madrassah Market, Shahrah-e Liaquat, Karachi.",ICT & Punjab,C-3,CR/24/189/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Smart Home Solutions,0342-8400000,"0342-8400000; 0344-4448314, 0316-1416831",042-36297644; 042-37180429,royaute.energy@gmail.com; info@thesmarthomesolutions.com,Lahore,"274-MB, Commercial Phase VI, DHA, Lahore.",ICT & Punjab,C-3,CR/24/264/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Smart Solar,0322-4607712,0322-4607712; 0321-4850907,042-35211617,solarageinfo1@gmail.com; info@smartsolar.pk,Lahore,"497-A, Revenue Housing Society, Johar Town, Lahore.",ICT & Punjab,C-3,CR/22/031/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Sogo Solar Solutions,0300-8968964,"0300-8968964; 0332-2228051, 0331-1176527",,hammad424147@gmail.com; sj@sogosolarsolutions.com,Karachi,"Road, Karachi.",,C-3,CR/24/123/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Solar First Enterprises,"0344-9121255, 0334-9256906","0344-9121255, 0334-9256906; 0314-5553030",091-5891222,sunrise.pk21@gmail.com; solarfirst1987@gmail.com,ICT,"Industrial Estate,","ICT, Punjab, Sindh & KPK",C-3,CR/24/037/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Solar Professional,"0300-0850606, 0300-0850609","0300-0850606, 0300-0850609; 0335-1203275, 0330-5845448",,info@fusionsolarenergy.pk; solarprofessional232@gmail.com,,,,C-3,CR/24/106/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Solar Sight (Private) Limited,0300-2017035,"0300-2017035; 0315-9460852, 0304-8888322",021-32477308,barqpowersolution@gmail.com; solarsight04@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/170/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Solarkon,0300-4028071,0300-4028071; 03062935768,,sales@alkafiengineering.com; risingimpex99@gmail.com; solarkoninternational@gmail.com,Lahore,"Mohalla Ghail Singh, Near WAPDA office, Ghani Road, Haveli Lakha, Lahore.",ICT & Punjab,C-3,CR/24/224/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Solartrack Services (Private) Limited,0333-9881116,"0333-9881116; 0333-0616199, 0317-0669570","081-2830376, 2006026",info@solartrackservices.com,Multan,"Society, MA Jinnah, Road, Multan.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/057/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Solutions Engineering (Private) Limited,0321-5739186,0321-5739186,,adnantariq9186@gmail.com; nadeem.malik@solutionspk.com.pk,Lahore,"Solutions Tower 95-A, DHA Phase-8, Commercial Boadway, Lahore.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/226/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Solway Energy (Private) Limited,0311-1123278,0311-1123278; 0300-2038530,042-35132344; 021-34140200,info@fastsolar.com.pk; info@solway.pk,,,,C-3,CR/24/050/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Sparkle Energy,0301-8202366,0301-8202366; 0345-6253137,021-36452224,sun.influxpk@gmail.com; sparkle.grw@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/082/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Sun Influx (Private) Limited,0301-8202366,0301-8202366,021-36452224,jjc.adnan@yahoo.com; sun.influxpk@gmail.com,,,,C-3,CR/23/081/C-3,30-06-2023,Solar,PPIB C-3 (upto 250 kW)
Sun Players & Co (Private) Limited,0322-2023999,0322-2023999,042-37207888,aamir.271jb@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/009/C-3,23-01-2025,Solar,PPIB C-3 (upto 250 kW)
Sunlife Solar Co. (Private) Limited,0300-8281002,"0300-8281002; 0334-3232414, 0345-4129039","021-32767670, 32767667",zeeshancapital@gmail.com; info@sunlifesolar.com.pk,ICT,,ICT & Punjab,C-3,CR/23/143/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Sunlight Corporation,0330-5845448,0330-5845448; 0316-0408875,021-35640150,azmitraders232@gmail.com; sunlightcorporations552@gmail.com,Karachi,"Upper Floor, Bohri, Road, G.H Qasim, QRT, Karachi.","ICT, Punjab, KPK & Balochistan",C-3,CR/23/132/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Sunmatic Energy,0311-4499592,0311-4499592; 0300-5016968,,md@harutoengineering.com; amash.arshad@gmail.com,,,,C-3,CR/24/235/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Supreme Industrial Films (Private) Limited,"0332-2228051, 0331-1176527","0332-2228051, 0331-1176527; 0300-8269398",,sj@sogosolarsolutions.com; info@sifl.com.pk,Karachi,"F-202, Textile Avenue, S.I.T.E., Karachi.",,C-3,CR/24/124/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Swift Solar Energy (Private) Limited,"0333-9912299, 0332-8217779","0333-9912299, 0332-8217779; 0304-7266266, 0300-0780825",,info@archies.com.pk; swiftsolarenergy786@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/185/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Tajsol,0302-8313999,0302-8313999,021-35308637-38,yar.muhammad@tajsol.com,ICT,,"ICT, Sindh & Balochistan",C-3,CR/22/017/C-3,30-06-2022,Solar,PPIB C-3 (upto 250 kW)
Tayyab Corporation,0336-3000882,0336-3000882; 0321-2398915,"021-32712155,",fahadmemon701@gmail.com; libra_tayyab@hotmail.com,Karachi,"RB-11/8, Office no. 01, Tariq Center, 5Khilani Building, Ramchander Temple Road, Behind Radio Pakistan, Karachi.",,C-3,CR/24/240/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Teravolt Energy (Private) Limited,0333-2354464,0333-2354464; 0301-6833666,,artisansolar@outlook.com; aribmalik@gmail.com,,"Industrial Area,",,C-3,CR/24/072/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Terrific Solutions,0300-8283955,0300-8283955; 0320-7837978,021-35243540; 042-35847800,waqas@iandninternational.com; info@terrific.pk,ICT,"Shlamar Town,",ICT & Punjab,C-3,CR/24/193/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
TFP Solar (Private) Limited,"0300-9508525, 0315-9135406","0300-9508525, 0315-9135406; 0321-8804444; 0302-0220148","091-2010700, 051-4718225, 2223111",adamenergy111@gmail.com; hnstradersco@gmail.com; info@thefuturepower.com,,,,C-3,CR/24/249/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
The FM's Trading,0305-8411502,0305-8411502; 0321-2550299,,nexfluxsolar@gmail.com; fmsgroupinfo@gmail.com,,,,C-3,CR/24/228/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Trisun Energies,0342-5202782,0342-5202782; 0300-8370844,051-2726503,info@oslopower.com.pk; zbawani95@gmail.com,,,,C-3,CR/24/179/C-3,,Solar,PPIB C-3 (upto 250 kW)
Trisun Energies (Private) Limited,0302-8313999,0302-8313999; 0336-5770608,021-35308637-38,yar.muhammad@tajsol.com; trisunenergies@gmail.com,,,,C-3,CR/24/018/C-3,18-04-2025,Solar,PPIB C-3 (upto 250 kW)
Trisun Power (Private) Limited,0316-7041982,0316-7041982; 0300-8664834,,abatterycenter@gmail.com; sajawalawan68@yahoo.com,Faisalabad,"P-354, Askari Plaza, Kashmir Road, Amin Town, Faisalabad., Jinnah Road,",ICT & Punjab,C-3,CR/24/198/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Union Enterprises,0320-7837978,0320-7837978; 0321-8251572,042-35847800,info@terrific.pk; amir@azamtelesources.com,,,,C-3,CR/24/194/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Universal Overseas Agency (Private) Limited,0300-4240976,0300-4240976; 0322-2240016; 0300-8201082,"021-34540614, 34527664; 021-32724078, 32723957",mnazmughal17@gmail.com; director@mmydsynergy.com; bawaney@hotmail.com,Karachi,"9-A, Rehman Mansion, Frere Road, Saddar, Karachi.",,C-3,CR/24/259/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
"VI, DHA, Lahore. Balochistan",0348-0569603,0348-0569603; 0320-6327727,,teela66866@gmail.com; sales@r-power.com.pk; tahir2710@gmail.com; usmanlodhi00000@gmail.com,Multan,"G-29, Ground Floor,, Multan Trade, Road, Multan.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/23/095/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Vohra Traders,"0335-3572756, 0318-1257242","0335-3572756, 0318-1257242; 0321-8205805",021-32477348,burraq.esolutions@gmail.com; vohratraders@gmail.com,,,,C-3,CR/23/121/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Waqar Trading Company,"0345-2252223, 0321-2252223","0345-2252223, 0321-2252223; 0321-5370242, 0316-4022222",,info@sultanenergys.com; jay.londonmet@gmail.com,Lahore,"352-E-Block, PIA Housing Society, Near Johar Town, Lahore.",ICT & Punjab,C-3,CR/24/182/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Xiamen Zhizheng Energy Services (Private) Limited,0315-5650597,0315-5650597; 0333-6859994,091-5816556,ehtishamakbar1@gmail.com; sabzali.jvca@gmail.com,ICT,,"ICT, Punjab & KPK",C-3,CR/24/203/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
YK Traders,0320-8106314,0320-8106314; 0300-5743814,,info@moveenergy.co; yarkhan1984.yk53@gmail.com,ICT,"Hussain Road,",ICT & KPK,C-3,CR/24/253/C-3,30-06-2025,Solar & Wind,PPIB C-3 (upto 250 kW)
ZEM Co.,0300-3833836,"0300-3833836; 0332-8777703, 0312-8777701","021-35853637-8, 35897779",siddiq_khan@hotmail.com; zemcorp10@gmail.com,ICT,"M.A Jinnah Road,",ICT & Balochistan,C-3,CR/24/100/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
