company_name,contact_and_address,phone,city,solar_priority
WARRAICH STEEL INDUSTRIES,"MR.MEHMOOD AHMED WARRAICH PLOT # 205, KORANG ROAD, I-10/3,INDUSTRIAL AREA, ISLAMABAD",051-4102323,Islamabad,High
CRYSTALLINE JEWELLERS,"MR.AMJAD ZAHEER AHMED OFF.# 4,64-W,1ST FLOOR, MASCO PLAZA, BLUE AREA, ISLAMABAD",051-2577910,Islamabad,Medium
EXPERTS GEMS & MINERALS,"MR.USMAN ALI BUILDING # 21, STREET 4, BLOCK-A, MAIN COMMERCIAL SOAN GARDEN,ISLAMABAD",051-5739259,Islamabad,Low
HANIA ENTERPRISES,"MR.MUHAMMAD FAYYAZ QURESHI 1ST FLOOR, FAYYAZ PLAZA 45, BLUE AREA,ISLAMABAD",051-2604624,Islamabad,Medium
MARVA GENERAL TRADING,"MR.NASIR KHAN SHAHEEN FARM,NEAR KALMA CHOWK,MAIN SIMLY DAM RD BHARA KAU, ISLAMABAD",051-2554059,Islamabad,Low
NEW MUGHAL JEWELLERS,"MR.AHMED HASSAN MUGHAL 1-E, SUPER MARKET, F-6 MARKAZ, ISLAMABAD",051-2877179,Islamabad,Medium
SKZ MINING COMPANY (PVT) LTD,"MR.AMINULLAH BAIG HOUSE # 218, STREET # 41, G-9/1, ISLAMABAD",051-2855403,Islamabad,Low
KITCHEN CARE,"MR.HASAN AMIR GARDEZI 103-GOLDEN PLAZA, BLUE AREA, ISLAMABAD",051-2875226,Islamabad,Medium
ALI IMPEX INTERNATIONAL (SMC-PVT) LTD,"MS.QURAT-UL-AIN ALI CH.MAHBOOB PLAZA,JILANIA ABAD,OPP.SHAHEEN CARGO,B.I.AIRPORT,ISLAMABAD",051-5590239,Islamabad,Medium
FAHAD ENTERPRISES,"MR.FAHAD ALI SHAH FLAT # 1, PLOT # 12-E,F-7 MARKAZ, JINNAH SUPER MARKET, ISLAMABAD",051-2650081,Islamabad,Medium
LUNAR TECHNOLOGIES (PVT) LTD,"MR.HAMOOD ALI JAFRI 184, STREET # 33, I-8/2, ISLAMABAD",051-8449457,Islamabad,Low
PROGRESSIVE VENTURES,"MR.ABDUL NASIR REHMAN OFF.# 9,2ND FLOOR, CAPITAL PLAZA, G-11 MARKAZ, ISLAMABAD",051-2221020,Islamabad,Medium
M.YOUSUF & CO.MANAGEMENT CONSULTANT,"MR.MUHAMMAD YOUSUF KHAN OFF.# 6,1ST FLOOR, BENAZIR PLAZA, JINNAH AVENUE, ISLAMABAD",051-2803231,Islamabad,Medium
AKRAM BROTHERS,"MR.MUHAMMAD AKRAM HOUSE # 7, NEELAM ROAD, G-9/3, ISLAMABAD",051-2857002,Islamabad,Low
GOLD ROOF (PVT) LTD,"RAJA NAZEEM-UL-AMIN HOUSE # 299,STREET # 3, F-10/3, ISLAMABAD",051-2113980,Islamabad,Low
SUPPLY SKILLS (PVT) LTD,"DR.RAJA NASIM ULLAH KHAN HOUSE # 20, STREET # 4, F-8/3, ISLAMABAD",051-9234000,Islamabad,Low
WIN PIPE INDUSTRIES (PVT)LTD,"MR.JAMAL ABDUL NASIR OFFICE # 81, ST. # 6, I-10/3,INDUSTRIAL AREA, ISLAMABAD",051-4444860,Islamabad,High
M.A STEEL CASTING,"MR.FAHAD FARID PLOT # 25,I-9,INDUSTRIAL AREA, ISLAMABAD",051-4434135,Islamabad,High
FAZAL STEEL (PVT) LTD,"MR.ILYAS AZIZ MALIK PLOT # 418-421, I-9, INDUSTRIAL AREA, ISLAMABAD",051-4434813,Islamabad,High
TURNOTECH (PVT) LTD,"MR.SHOAIB ALAM HOUSE # 236, STREET # 18, F-10/2, ISLAMABAD",051-2112331,Islamabad,Low
MUHAMMAD ASLAM KHAN & SONS (PVT) LTD,"MR.ABDUL GHAFOOR KHAN HOUSE 253, SUNSET STREET, GREEN AVENUE, NEW CHAK SHAHZAD, ISLAMABAD",051-5587117,Islamabad,Low
S.K.INTERNATIONAL,"MR.MUHAMMAD SAEED KHAN I-C, SUPER MARKET, F-6 MARKAZ, ISLAMABAD",051-2270797,Islamabad,Medium
AHMED TRADING,"MR.AHMED RIAZ HOUSE # 22, STREET 35,F-6/1, ISLAMABAD",051-2288318,Islamabad,Low
FARRUKH GRANITE ART,"MR.M.FARRUKH MAJEED UNIT # 2, PLOT 2-D, JANJUA PLAZA,I-9 MARKAZ ISLAMABAD",051-4446222,Islamabad,High
GLOBAL ENTERPRISES,"MR.MUHAMMAD FAISAL 5LG, G-D ARCADE, FAZAL-E-HAQ ROAD, BLUE AREA, ISLAMABAD",051-2348457,Islamabad,Medium
GOLDEN STONE INTERNATIONAL (PVT) LTD,"MR.ADNAN KASHIF # 332 INDUS VILLA, RAVI ROAD, G-8/2, ISLAMABAD",051-2802124,Islamabad,Low
KHATTAK TRADERS,"MR.GULZAR AHMAD OFF.# 3,2ND FLOOR,PLOT # 16,ARSHAD SHARIF PLAZA, G-11 MARKAZ, ISLAMABAD",051-2830196,Islamabad,Medium
LEPAK MINING COMPANY (PVT)LTD,"MR.MUHAMMAD SHAKEEL MUNIR PLOT # 260, ST.# 8, I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4438438,Islamabad,High
MB ENTERPRISES,"MR.MUNIR AHMAD BUTT 5-B, WASIL PLAZA,FAZAL-E-HAQ ROAD,BLUE AREA, ISLAMABAD",051-2806030,Islamabad,Medium
MUSHTARKA MINING,"MR.SHAHID-UR-REHMAN OFF.# 5-6,89 BILAL PLAZA JINNAH AVENUE,BLUE AREA, ISLAMABAD",051-2802125,Islamabad,Medium
NATURAL MARBLE,"SYED SATTAR HUSSAIN SHAH OFF. # 1,SHAHEEN CENTRE, I-9 CHOWK, ISLAMABAD",051-4449246,Islamabad,High
PAKISTAN STONE DEVELOPMENT COMPANY,"MR.IHSANULLAH KHAN 2ND FLOOR, ICCI BUILDING MAUVE AREA, G-8/1, ISLAMABAD",051-9263465,Islamabad,Low
ROYAL INTERNATIONAL,"MR.NAVEED AHMED CH. SADIQ PLAZA, OPP.ATTOCK PETROL PUMP, MAIN LEHTRAR RD.TARLAI KALAN,ISLAMABAD",051-2241530,Islamabad,Medium
SK STONES (PVT) LTD,"MR.SAQIB FARID SK CASA, 390, ST.16,I-9/3 POTOHAR ROAD,INDUSTRIAL AREA, ISLAMABAD",051-4859036,Islamabad,High
SOHAIL CIVIL ELECTRICAL MECHANICAL ENGINEER & CONTRACTORS PVT.LTD,"MR.ADEEL AHMED # 1,2ND FL.FAZAL ARCADE, F-11 MARKAZ, ISLAMABAD",051-2511083,Islamabad,Medium
STAR MARBLE TILES,"MIAN ABDUL SAMI 215, ST.NO.7,I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4435000,Islamabad,High
SUNNY TECH (SMC-PVT) LTD,"MS.MUKEDAISI WUFUER FLAT B-1,328,3RD FLOOR, MUSTAFA TOWER, F-10 MARKAZ, ISLAMABAD",051-2263636,Islamabad,Medium
THE BLESSOR'S MARBLES,"MR.MISAR KHAN AFRIDI ADJACENT POLICE CHECK PO NEAR AFRIDI NURSERY,PESH ROAD,TARNOL,ISLAMABAD",051-2227711,Islamabad,Low
HILAL MEAT PROCESSING (PVT) LTD,"MR.MUHAMMAD IRFAN FARID CHIP HOUSE, PLOT # 5, FAYYAZ MARKET, STREET 9, G-8/2, ISLAMABAD",051-2280081,Islamabad,Low
E&P EQUIPMENTS MARKETING COMPANY (PVT)LTD,"MR.MUHAMMAD JAVED AWAN SUITE # N13, GOLDEN HEIGHT TOWERS, F-11/1, ISLAMABAD",051-2224809,Islamabad,Medium
BLUJAY CONSULTING (PVT) LTD,"SYED USMAN HUSSAIN SHAH HOUSE # 1222, STREET # 8 G-11/1, ISLAMABAD",051-2361583,Islamabad,Low
FAKHR-E-ALAM MEDICAL SUPPLIERS,"SYED MUNAWAR HUSSAIN SHOP 2, ISRAR PLAZA,MAIN SHAHPUR BAZAR,PHULGRAN RD.BHARA KAU,ISLAMABAD",051-2500144,Islamabad,Medium
GOA INTERNATIONAL,"MR.AMIR PERVAIZ OFF.# 313, STREET # 95, G-9/4, ISLAMABAD",051-5824257,Islamabad,Low
HM ENTERPRISES,"MR.ABDULLAH MASOOD KHAN 3-AL-REHMAN CHAMBER,79-E BLOCK-G,FAZAL-UL-HAQ RD. BLUE AREA, ISLAMABAD",051-2344043,Islamabad,Medium
ALMAS TRADERS,"MR.IMTIAZ ALI KAYANI 501, 5TH FLOOR, GINZA CENTRE,104-W, JINNAH AVENUE, ISLAMABAD",051-2347050,Islamabad,Medium
NAYYER BROTHERS & COMPANY,"MR.NAYYER FARHAN OFF.# 8, 1ST FLOOR, PLAZA 2000, I-8 MARKAZ, ISLAMABAD",051-4861187,Islamabad,Medium
SURGILINE INTERNATIONAL,"MR.MUHAMMAD SHOAIB HOUSE # 296, STREET # 67, F-11/1, ISLAMABAD",,Islamabad,Low
BAIG & SONS INTERNATIONAL (PVT) LTD,"MIRZA TAIMUR ASHRAF BAIG HOUSE # 479, STREET 17, SHAHZAD TOWN,ISLAMABAD",051-2557016,Islamabad,Low
CHINA HAH MINING RESOURCES (PVT) LTD,"MR.ZHANG LIQANG 405, 2ND FLOOR,MILLINIUM HEIGHTS, F-11 MARKAZ, ISLAMABAD",051-2224897,Islamabad,Medium
HESHENG CRESCENT MINING (PVT) LTD,"MR.MUHAMMAD SAEED KASHMIR HIGHWAY, NEAR MOTORWAY INTERCHANGE,1KM ISB.RD.G-14/1,ISLAMABAD",051-5464062,Islamabad,Low
NEW ERA ADVANCED TECHNOLOGY,"SYED ADEEL AHMAD ZAIDI PLOT # 33, STREET 10,I-9/2, INDUSTRIAL AREA, ISLAMABAD",051-4101302,Islamabad,High
OMEN (PVT) LTD,"MR.AFTAB HAIDER NAQVI 299, STREET # 76, G-9/3, ISLAMABAD",051-2853382,Islamabad,Low
PAKISTAN METAL MINERALS (PVT) LTD,"MR.XU PING PLOT # 260, STREET # 8, I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4438438,Islamabad,High
SEZBERS CONSORTIUM (PVT) LTD,"MR.IJAZ AHMED HOUSE # 18, SAHIBZADA ABDUL QAYYUM ROAD, I-8/3, ISLAMABAD",051-4860149,Islamabad,Low
E-ASIA (PRIVATE) LIMITED,"DR.RAJA M.IFRAHIM SATTI PLOT # 1-F,LEADS BLDG. FLAT # 2,BAZAR # 5,NEAR IMCB,I-10/1, ISLAMABAD",051-4435886,Islamabad,High
HAJVAIRY TECHNOLOGIES (PVT) LTD,"MR.TANVEER SULTAN AWAN 1ST FLOOR, # 2013 HAJVAIRY MANSION, JINNAH AVENUE, ISLAMABAD",051-2604811,Islamabad,Low
KHAISTA KHAN ENTERPRISES,"MR.KHAISTA KHAN OFF.# 2,PLOT # 1,CAPITAL PLAZA, G-11 MARKAZ, ISLAMABAD",051-2563729,Islamabad,Medium
MAJESTA ENTERPRISES,"MR.SHABBIR AHMED 6-B, MEZZANINE FLOOR, ALREHMAN CHAMBER,79-E, BLUE AREA,ISLAMABAD",051-2650256,Islamabad,Medium
RAHI INTERNATIONAL,"MR.NAIK MUHAMMAD GROUND FLOOR, 1228/84, G-9/4, ISLAMABAD",051-2261803,Islamabad,Low
ROYAL ENTERPRISES,"DR.HAKIM GUL PLOT # 41-42, STREET 55 , G-9/4, ISLAMABAD",051-2250511,Islamabad,Low
SHAHBAZ (PVT) LTD,"MR.KAMRAN KHAN OFF.# 9-10, 2ND FLOOR, JAMAL PLAZA, F-10 MARKAZ, ISLAMABAD",051-2223075,Islamabad,Medium
SHAHEEN FOUNDATION PAF,"MR.A.D.MALIK PAF COMPLEX, SECTOR E-9/1, ISLAMABAD",051-9224184,Islamabad,Low
SOMETHING DIFFERENT,"MR.MOHAMMAD TAUSEEF ZAMAN 6-7, WASIL PLAZA, FAZAL-E-HAQ ROAD, BLUE AREA, ISLAMABAD",051-2255219,Islamabad,Medium
TABANI CORPORATION,"MR.MUHAMMAD YAQOOB TABANI 12-D, S.N.C CENTRE, FAZAL-EHAQ ROAD, BLUE AREA, ISLAMABAD",051-2271348,Islamabad,Medium
TEST INTERNATIONAL,"MR.YASIR TIPU KHAN 389-C, STREET # 85, I-8/4, ISLAMABAD",051-4861593,Islamabad,Low
TRADE CARE INTNERNATIONAL,"MR.SHAMIM AHMED QURESHI HOUSE # 79, STREET #159, G-11/1, ISLAMABAD",051-2270976,Islamabad,Low
UNIQUE VENTURE,"MR.GOHAR ZAMAN SUITE 6,BLOCK 13-V, BANGASH MALL,F-7, JINNAH SUPER MARKET, ISLAMABAD",051-2530220,Islamabad,Medium
KAABA INTERNATIONAL,"MR.LIAQUAT ALI ANSARI G-5 AL-MUSTAFA CENTRE, G-8 MARKAZ, ISLAMABAD",051-2252256,Islamabad,Medium
MULTITECH INTERNATIONAL,"MR.SIKANDAR KHAN 112-B, STREET # 41, F-10/4, ISLAMABAD",051-2223052,Islamabad,Low
PETROEX,"SYED MOOSA RAZA WAHIDI # 155, STREET # 58, F-11/4, ISLAMABAD",051-2292956,Islamabad,Low
SHAHZAD INTERNATIONAL,"MR.ZAHIR-UD-DIN 15, NAZIMUDDIN ROAD, F-10/4, ISLAMABAD",051-2299031,Islamabad,Low
AMSON VACCINES & PHARMA (PVT) LTD,"MR.SHAMIM AHMED KHAN 115-INDUSTRIAL TRIANGLE KAHUTA ROAD, ISLAMABAD",051-5584551,Islamabad,High
ETERNA INTERNATIONAL (PVT) LTD,"MR.ZEEJAH FAZLI HOUSE # 10B, STREET # 32, F-7/1, ISLAMABAD",051-8483224,Islamabad,Low
VALOR PHARMACEUTICALS,"MR.RAFIQ AHMED 124-A, INDUSTRIAL TRIANGLE, KAHUTA ROAD, ISLAMABAD",051-4491616,Islamabad,High
GENERA PHARMACEUTICALS,"MR.WASEEM IRSHAD BUTT PLOT NO.244, ST.NO.8, I-9/2,INDUSTRIAL AREA, ISLAMABAD",051-4449386,Islamabad,High
WEATHER FOLDS PHARMACEUTICALS,"MR.ARSHAD MEHMOOD HOUSE # 830, STREET # 85, I-8/4, ISLAMABAD",051-4434515,Islamabad,Low
LEADS PHARMA (PVT) LTD,"DR.MUHAMMAD AMJAD PLOT # 81-A, STREET # 6, I-10/3, ISLAMABAD",051-4441081,Islamabad,High
PARAMOUNT PHARMACEUTICALS (PVT) LTD,"MR.NASIR M.QURESHI PLOT # 36, INDUSTRIAL TRIANGLE, KAHUTA ROAD, ISLAMABAD",051-4491871,Islamabad,High
WELMARK PHARMACEUTICALS,"MR.ARSHAD MEHMOOD HOUSE # 830, STREET #85, I-8/4, ISLAMABAD",051-4434515,Islamabad,Low
TF PIPES LTD,"MR.KHAWAR NAWAZ PLOT # 159-163, STREET # 2, I-9/2, INDUSTRIAL AREA, ISLAMABAD",051-4431144,Islamabad,High
EVEREST PLASTICS,"MR.AFZAL IBRAHIM GELOO BASTI ANWARE MADINA, SARA E KHARBUZA, NEAR DARULOOZIKRIYA,TARNOL, ISLAMABAD",051-2527484,Islamabad,Low
M.K. INTERNATIONAL,"MR.SADAQAT SAEED MALIK 69-W, RATTA MANSION, MEZZ.FLOOR,FAZAL-E-HAQ RD.BLUE AREA,ISLAMABAD",051-2873862,Islamabad,Medium
NEW TECH,"MR.MUHAMMAD KAZIM ABBAS SUITE # 5, 2ND FLOOR, REHMAN PLAZA, I-10 MARKAZ, ISLAMABAD",051-4438601,Islamabad,High
ENGINEERING SYSTEMS PAK,"DR.HAMMAD BIN KHALEEQ PLOT # 35, STREET # 3, I-10/3, INDUSTRIAL AREA, ISLAMABAD",051-4433995,Islamabad,High
NASYS INTL.CO. (PVT) LTD,"MALIK REEHAN AZAM UNIT # 312, SERVIE ROAD, F-11/4, ISLAMABAD",051-2111816,Islamabad,Low
SPRINT TRADING & CONTRACTING (PVT) LTD,"MR.TAHIR MEHMOOD ABBASI PLOT 24,ST.# 1,PHASE-I, SEC-B, DEFENCE HOUSING AUTHORITY, ISLAMABAD",051-5789006,Islamabad,Low
SUPER EN NEW ENERGY TECHNOLOGY CO.PVT.LTD,"MALIK SARFRAZ AHMAD BUILDING # 28,Q PLAZA, JINNAH BLVD,WEST SECTOR-A,DHA PHASE-II,ISLAMABAD",051-4917047,Islamabad,Medium
PRINT & PACKAGING MACHINERY INC,"MR.ADNAN BASHIR DHOKE KASHMIRIAN,MERA JAFFAR,MAIN SERVICE ROAD, NEAR G-12, ISLAMABAD",,Islamabad,Low
RAILWAY CONSTRUCTIONS PAKISTAN LIMITED,"MR.AAMIR NISAR CHAUDHRY RAILCOP HOUSE INSIDE PAK.RAILWAYS, CARRIAGE FACTORY,I-11, ISLAMABAD",051-9242543,Islamabad,High
NOOR INTERNATIONAL RELIEF SUPPLIER,"MR.MUHAMMAD PERVAIZ IQBAL HOUSE # 302,MAIN IBN-E-SINA ROAD, G-11/3,ISLAMABAD",051-2361787,Islamabad,Low
AANISH RICE TRADERS,"MR.AMMAD PLOT # 63, DRY PORT ROAD, INDUSTRIAL AREA, I-10/3, ISLAMABAD",051-4439960,Islamabad,High
AL-SAFA FOOD STUFF TRADING (PVT) LTD,"MR.MUHAMMAD BAHAUDDIN HOUSE # 762, STREET # 25 G-9/1, ISLAMABAD",051-2103618,Islamabad,Low
BARKAT RICE MILLS (PVT) LTD,"MR.KARIM AZIZ MALIK PLOT # 220-221, ST.# 1, I-10/3,INDUSTRIAL AREA, ISLAMABAD",051-4443612,Islamabad,High
JIN HEE TRADE (PVT) LTD,"MR.JIN WOONG YOON OFF.# 9, 1ST FLOOR,RAJA HAQ NAWAZ PLAZA, G-11 MARKAZ, ISLAMABAD",051-2220757,Islamabad,Medium
Q Z GLOBAL (PVT) LTD,"MR.QAMAR HUSSAIN ZIA OFF.# 5/6 GROUND FLOOR, ALAQSA PLAZA, G-10 MARKAZ, ISLAMABAD",051-2112272,Islamabad,Medium
"RICE PARTNERS (PVT) LTD. BRIG(R) FAROOQ AFZAL HOUSE # 5, STREET # 15, F-7/2, ISLAMABAD",,051-2652711,Islamabad,Low
SHAHID TRADING COMPANY,"MR.SHAHID IQBAL HOUSE # 1199, STREET # 177, G11/1, ISLAMABAD",051-2113199,Islamabad,Low
WORLDWIDE TRADE LINK,"MR.IRFAN-UL-HAQ SUITE # 307,MARGALLA VIEW HEIGHTS,KHAYABAN-E-IQBAL, E-11/4,ISLAMABAD",051-5840140,Islamabad,Low
EZETEK,"MR.HAFEEZ-UR-REHMAN # 269-A, STREET # 17, F-10/2, ISLAMABAD",051-2299677,Islamabad,Low
PROTECH ENTERPRISES,"MR.MAHMOOD AKHTAR OFF.# 5,F. F. CHANGEZ PLAZA (OPP.WILSON'S) I-9 MARKAZ, ISLAMABAD",051-4449381,Islamabad,High
ISLAMABAD SOAP & CHEMICAL INDUSTRIES,"SH.MUHAMMAD MUNEER PLOT # 240, I-9 SECTOR INDUSTRIAL AREA, ISLAMABAD",051-4432069,Islamabad,High
MUJAHID SOAP & CHEMICAL INDS.(PVT)LTD,"SH.MUHAMMAD SULEMAN PLOT 79-80, STREET # 10, I-9, INDUSTRIAL AREA, ISLAMABAD",051-4432018,Islamabad,High
ASTERISK SOLUTIONS (PVT) LTD,"MR.MUHAMMAD SARMAD ALVI # 8-A, STREET # 12, F-8/3, ISLAMABAD",051-2287652,Islamabad,Low
AAHAD STATIONERS,"MRS.PARVEEN AKHTAR BASEMENT # 3,GREEN PLAZA, BLOCK # 33,G-9 MARKAZ, ISLAMABAD",051-2284903,Islamabad,Medium
DHAI TELEMAN (PVT) LTD,"MR.FARRUKH NAWAZ DEFENCE MALL, DEFENCE AVENUE, PHASE-1, DHA, ISLAMABAD",,Islamabad,Medium
MEGA MART (PVT) LTD,"MR. MUHAMMAD BABAR KHAN HOUSE # 63, STREET # 9 SECTOR C, DHA PHASE-II, LANE 6, ISLAMABAD",051-2501250,Islamabad,Low
NEXUS TELECOM (PVT) LTD,"MR.AMMAR AHMAD KHAN 19-B, STREET # 22, F-8/2, ISLAMABAD",051-2854890,Islamabad,Low
TELECOMMUNICATION EQUIPMENT,"MR.TARIQ JAVAID FLAT # 7,1ST FLOOR,JANAT ARCADE, G-11 MARKAZ, ISLAMABAD",051-2830443,Islamabad,Medium
SAS ENTERPRISES,"MR.MUHAMMAD SALEEM PLOT # 260, ST. # 8, I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4433438,Islamabad,High
CARS XPRESS (PVT) LTD,"MR.NOOR-UL-AMIN OFF.4,MEZZ.FLOOR, KASHMIR PLAZA, JINNAH AVNEUE, BLUE AREA, ISLAMABAD",051-8448525,Islamabad,Medium
SIGMA MOTORS LTD,"COL. ZAFAR UDDIN AHMAD (RETD.) # 1 & 3,1ST FLOOR, SAFARI VILLAS-2,PHASE-7,BAHRIA TOWN,C.COMPLEX,ISLAMABAD",051-5707360,Islamabad,Low
THE WHEEL CARE,"MR.MUHAMMAD AKBAR KHAN 1-C PLAZA, NEAR SUFI RESTAURANT, F-10 MARKAZ, ISLAMABAD",051-2291897,Islamabad,Medium
GLOBOSOFT TECHNOLOGIES,"MR.SAQIB M.QURESHI OFF.# T-10,SARDAR ARCADE, G-11 MARKAZ, ISLAMABAD",051-2113866,Islamabad,Medium
BENTLEY SYSTEMS PAKISTAN (PVT) LTD,"MR.OVAIS ASHRAF SUITE # 307, 3RD FLOOR, EVACUEE TRUST COMPLEX, F-5/1, ISLAMABAD",051-2872639,Islamabad,Low
BLOOMERS NURSARY,"SYED ALI ABBAS OFF.# 1, PLAZA SILVERCITY, G-11 MARKAZ, ISLAMABAD",051-5194294,Islamabad,Medium
